id,walker_id,dog_id,start_time,duration_minutes,status,price_cents
1,1,1,2026-09-01T08:00,30,completed,1200
2,1,3,2026-09-01T09:00,60,completed,2900
3,1,2,2026-09-02T08:00,60,completed,2400
4,2,4,2026-09-02T17:00,30,completed,1000
5,1,5,2026-09-03T08:00,30,cancelled,1700
6,1,1,2026-09-04T08:00,60,completed,2400
7,1,2,2026-09-07T12:00,30,completed,1200
8,2,3,2026-09-08T07:30,60,completed,2500
9,1,3,2026-09-09T08:00,30,completed,1700
10,1,4,2026-09-14T18:00,30,completed,1200
11,4,2,2026-09-18T10:00,60,scheduled,2200
12,1,1,2026-09-18T08:00,30,scheduled,1200
13,2,5,2026-09-19T09:00,60,scheduled,2500
14,1,3,2026-09-21T08:00,60,scheduled,2900
